Poland	Hungary	Republic of Moldova	Slovakia	Romania	Russian Federation	Belarus
0.64399065	0.119916274	0.064708463	0.088203775	0.04949426	0.033402687	0.000283892
0.450765383	0.047209627	0.152263739	0.047024147	0.243698387	0.058373591	0.000665126
0.545769777	0.074894232	0.042595704	0.056324348	0.124709477	0.151775469	0.003930993
0.545931083	0.10955627	0.047586025	0.066158323	0.15916517	0.057167429	0.0144357
0.445782002	0.103157318	0.032506205	0.065833876	0.133214339	0.201254003	0.018252256
0.455333542	0.088436306	0.043734965	0.048683119	0.137801573	0.213044523	0.012965973
0.41092902	0.097251821	0.031457424	0.051577118	0.129916798	0.272718587	0.006149232
0.417487596	0.106932005	0.034310026	0.061053271	0.108943212	0.26796513	0.00330876
0.437076055	0.108814031	0.037015774	0.070225195	0.153789847	0.191861984	0.001217114
0.472892849	0.11298195	0.026492196	0.06682311	0.141400906	0.173503635	0.005905354
0.39741241	0.103737104	0.020093574	0.054387199	0.114573401	0.308898384	0.000897928
0.44421047	0.128757224	0.027021652	0.065937519	0.114499791	0.214630292	0.00494305
