Poland	Hungary	Republic of Moldova	Slovakia	Romania	Russian Federation	Belarus
692624	72540	233961	72255	374455	89694	1022
393327	53975	30698	40592	89876	109382	2833
180279	36178	15714	21847	52560	18878	4767
175824	40687	12821	25966	52542	79378	7199
176220	34226	16926	18841	53331	82451	5018
154836	36644	11853	19434	48952	102759	2317
122265	31316	10048	17880	31905	78476	969
152262	37907	12895	24464	53575	66838	424
158796	37939	8896	22439	47482	58262	1983
142956	37316	7228	19564	41214	111116	323
250186	72518	15219	37137	64488	120883	2784
